company,title,title_en,job_category,seniority,remote_type,locations,years_experience_required,salary_hkd_min,salary_hkd_max,salary_estimated_min,salary_estimated_max,salary_estimated_confidence,required_skills,description_summary,source,source_tier,cross_posted,posted_at,apply_url,is_active
AIA,"Associate Director, Innovation Excellence","Associate Director, Innovation Excellence",Engineering,senior,on-site,"Hong Kong, Hong Kong SAR",,,,91000,115000,medium,Innovation Management; Engineering Excellence; Solution Architecture; Governance Frameworks; SDLC; AI; Digital Transformation; Technical Advisory; Quality Assurance; Stakeholder Management,"Lead the innovation excellence agenda at AIA's Group Innovation Office. Define engineering standards, governance, and review processes to improve delivery quality. Advise project teams on solution design and collaborate with Group Technology and Risk.",linkedin,mainstream,0,2026-07-10T00:00:00+00:00,https://hk.linkedin.com/jobs/view/associate-director-innovation-excellence-at-aia-4438883150,1
AIA,"Associate Director, Regulatory Affairs [6-month Fixed-Term Contract Position]","Associate Director, Regulatory Affairs [6-month Fixed-Term Contract Position]",Other,senior,on-site,"Hong Kong, Hong Kong SAR",,,,79500,97000,medium,"Regulatory monitoring; Regulatory consultation analysis; Stakeholder communication; Management reporting; Relationship management; Insurance regulation (HK, Bermuda); Cross-functional coordination; Regulatory documentation","This role monitors regulatory developments at group and business unit levels, facilitates communication between groups, and reports to management. It involves coordinating feedback on regulatory consultations and building relationships with internal stakeholders including Risk, Compliance, Legal, and Actuarial.",linkedin,mainstream,1,2026-07-20T00:00:00+00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong-HK-AIA-Group-Office/Associate-Director--Regulatory-Affairs--6-month-Fixed-Term-Contract-Position-_JR-68428,1
AIA,Director of Business Development,Director of Business Development,Finance,junior,hybrid,Hong Kong SAR,0,,,10000,12000,medium,Wealth Management; Financial Planning; Risk Management; Estate Planning; Succession Planning; Family Office Services; Trust Services; Customer Relationship Management; Client Segmentation,"This is a structured training programme for degree holders and final-year students to gain exposure to wealth management, financial planning, risk management, estate planning, and customer relationship management. It offers career development, licensing exam support, and flexible working arrangements.",linkedin,mainstream,0,2026-06-22T00:00:00+00:00,https://hk.linkedin.com/jobs/view/director-of-business-development-at-aia-4430552606,1
AIA,Director of Customer Analytics and Insights,Director of Customer Analytics and Insights,Other,lead,on-site,"Hong Kong, Hong Kong SAR",,,,120000,150000,medium,Customer Analytics; Insights Generation; Customer Segmentation; Propensity Modelling; Lead Scoring; Customer Lifetime Value Analysis; Martech (Marketing Technology); Customer Data Platforms; Data-Driven Decision Making,"Lead development of customer analytics and insights capabilities to support customer acquisition, engagement, retention and growth. Transform customer data into actionable insights for strategic decision-making. Drive adoption of advanced analytics and partner with business units to optimize customer journeys.",linkedin,mainstream,0,2026-07-10T00:00:00+00:00,https://hk.linkedin.com/jobs/view/director-of-customer-analytics-and-insights-at-aia-4438895128,1
AIA,"Economic Analyst, Group Investment Consulting Unit","Economic Analyst, Group Investment Consulting Unit",Finance,junior,on-site,"Hong Kong, Hong Kong SAR",,,,40000,45000,medium,Macroeconomic analysis; Market analysis; Chartbook production; Thematic research; Insurance investment analysis; Regulatory intelligence; Data visualisation; Management reporting; Stakeholder communication,"The Economic Analyst supports the Group Investment Consulting Unit by monitoring macroeconomic and market developments, producing chartbooks and thematic research, and providing insights for insurance investment strategy and asset allocation.",linkedin,mainstream,0,2026-06-26T00:00:00+00:00,https://hk.linkedin.com/jobs/view/economic-analyst-group-investment-consulting-unit-at-aia-4433584934,1
AIA,Financial Planner,Financial Planner,Finance,junior,on-site,"Kowloon, Hong Kong SAR",,,,16500,30500,high,Financial Advisory; Client Acquisition; Relationship Management; Team Building; Wealth Transfer Planning; Business Succession Planning; Estate Planning; Insurance Claims Handling; Mandarin Proficiency,"AIA is hiring a Financial Planner to provide wealth management and insurance services to high-net-worth clients in Hong Kong and Mainland China. Responsibilities include client acquisition, team building, and financial planning. Monthly income is HK$10,000-50,000 with commission, and fresh graduates are welcome.",linkedin,mainstream,0,2026-07-19T00:00:00+00:00,https://hk.linkedin.com/jobs/view/financial-planner-at-aia-4441785053,1
AIA,Graduate Program- Wealth Management (HK and China Market),Graduate Program- Wealth Management (HK and China Market),Finance,junior,on-site,"Hong Kong, Hong Kong SAR",0,,,3000,12000,medium,wealth management; financial analysis; client relationship management; business development; strategic planning; analytical skills; client advisory; insurance products,AIA's graduate program in wealth management trains candidates for analytical advisory and client relationship building. Participants develop strategic thinking and business development skills for the Hong Kong and China markets. The program is open to eligible visa holders including IANG and TTPS.,linkedin,mainstream,0,2026-06-22T00:00:00+00:00,https://hk.linkedin.com/jobs/view/graduate-program-wealth-management-hk-and-china-market-at-aia-4430392077,1
AIA,Recruitment Assistant,Recruitment Assistant,HR,junior,on-site,"Hong Kong, Hong Kong SAR",,,,8000,10000,medium,candidate sourcing; candidate screening; interview coordination; applicant communication; recruitment project support; organizational skills; communication skills; Mandarin fluency; Cantonese fluency,"AIA seeks a part-time Recruitment Assistant for university students, especially those under the IANG scheme. Responsibilities include sourcing, screening, coordinating interviews, and supporting recruitment projects. Requires fluency in Mandarin and/or Cantonese.",linkedin,mainstream,0,2026-07-17T00:00:00+00:00,https://hk.linkedin.com/jobs/view/recruitment-assistant-at-aia-4441149647,1
AIA,Relationship Manager (Wealth Management and Protection),Relationship Manager (Wealth Management and Protection),Sales,mid,on-site,"Hong Kong, Hong Kong SAR",,,,40000,50000,medium,client relationship management; sales; data analysis; strategic recommendations; prospecting; communication; interpersonal skills; client management,"The Relationship Manager understands client objectives, provides strategic recommendations, and builds client relationships. Responsibilities include analyzing client data, presenting value propositions, prospecting for new sales, and communicating with clients. Candidates need over 2 years of sales, banking, or client relationship experience.",linkedin,mainstream,0,2026-07-15T00:00:00+00:00,https://hk.linkedin.com/jobs/view/relationship-manager-wealth-management-and-protection-at-aia-4415784127,1
AIA,"Senior Associate, Whistleblowing & Investigations","Senior Associate, Whistleblowing & Investigations",Other,mid,on-site,"Hong Kong, Hong Kong SAR",,,,40000,50000,medium,Whistleblowing; Investigations; Case Management; Anti-Fraud; Governance; Risk Management; Stakeholder Management; Reporting; CMIS (Case Management System),"The role involves advising on and supporting the implementation of group standards for case management, whistleblowing, and anti-fraud across AIA Group and business units. Responsibilities include overseeing the CMIS case management system, triaging cases, preparing senior management communications, and promoting consistent application of standards. The position works closely with the Group Forensic Investigation Unit and…",linkedin,mainstream,0,2026-07-10T00:00:00+00:00,https://hk.linkedin.com/jobs/view/senior-associate-whistleblowing-investigations-at-aia-4439016173,1
AIA,"Senior Manager / Associate Director, Regulatory and Solvency Reporting","Senior Manager / Associate Director, Regulatory and Solvency Reporting",Finance,senior,on-site,"Hong Kong, Hong Kong SAR",,,,73000,80000,medium,HKRBC; BMA Solvency Reporting; Regulatory Capital; Actuarial Analysis; Solvency Reporting; Process Optimization; Regulatory Compliance; Internal Governance; System Implementation; Management Reporting,"Lead the Group's HKRBC and BMA solvency reporting activities, ensuring timely regulatory submissions. Act as subject matter expert on regulatory capital, oversee compliance, and drive process automation. Provide insights to senior management on solvency results.",linkedin,mainstream,0,2026-07-20T00:00:00+00:00,https://hk.linkedin.com/jobs/view/senior-manager-associate-director-regulatory-and-solvency-reporting-at-aia-4442560632,1
AIA,"Senior Manager, Group CIO Office","Senior Manager, Group CIO Office",Other,senior,on-site,"Hong Kong, Hong Kong SAR",,,,65000,80000,medium,Investment operating model development; Project management; Performance metrics design; Risk identification and tracking; Stakeholder management; Framework design and administration; Oversight of external relationships; Committee secretariat support; Strategic planning,"Senior Manager in AIA's Group CIO Office responsible for developing and delivering the Investment Operating Model, designing success metrics, managing projects, overseeing strategic external relationships, and providing secretariat support to investment committees.",linkedin,mainstream,0,2026-07-10T00:00:00+00:00,https://hk.linkedin.com/jobs/view/senior-manager-group-cio-office-at-aia-4439009398,1
AIA,Wealth Management Internship/Trainee Program,Wealth Management Internship/Trainee Program,Finance,junior,on-site,Hong Kong SAR,,,,5000,10000,medium,Financial Analysis; Insurance Planning; Investment Strategies; Retirement Planning; Estate Planning; Risk Management; Trust Services; Tax Optimization; Client Relationship Management; Strategy Development,"AIA offers a Wealth Management Internship/Trainee Program providing training in financial analysis, insurance planning, investment strategies, retirement planning, and risk management. The program serves clients across Greater China with customized wealth solutions. The role is open to Business/Finance graduates and includes a supportive team environment with a clear growth path.",linkedin,mainstream,0,2026-07-24T00:00:00+00:00,https://hk.linkedin.com/jobs/view/wealth-management-internship-trainee-program-at-aia-4444317448,1
AIA,Wealth Management Manager / Trainee (graduates 2025 2026 are welcome ),Wealth Management Manager / Trainee (graduates 2025 2026 are welcome),Sales,junior,on-site,"Hong Kong, Hong Kong SAR",0,,,16500,30500,low,Financial Planning; Investment Management; Wealth Management; Client Relationship Management; Financial Analysis; Investment Research; Sales Aptitude; Mandarin Chinese; Analytical Skills; Interpersonal Communication,"AIA seeks a Wealth Management Manager/Trainee for its graduate programme. The role involves financial planning, client relationship management, and investment research. Candidates should have a bachelor's degree from a QS100 university and strong communication skills.",linkedin,mainstream,0,2026-07-21T00:00:00+00:00,https://hk.linkedin.com/jobs/view/wealth-management-manager-trainee-graduates-2025-2026-are-welcome-at-aia-4442288823,1
AIA,商業顧問（全職/實習）,Business Consultant (Full-time/Internship),Finance,junior,hybrid,"Hong Kong, Hong Kong SAR",0,,,16500,20000,medium,Wealth Management; Market Research; Business Analysis; Strategic Planning; Presentation Skills; Financial Proposal Preparation; Mandarin; Communication; Team Management; CFA,"AIA seeks a Business Consultant (full-time/internship) to analyze client needs and provide wealth management solutions. Responsibilities include market research, strategic planning, and preparing financial proposals. Requires a bachelor's degree, Mandarin proficiency, and interest in finance; training and flexible work offered.",linkedin,mainstream,0,2026-07-23T00:00:00+00:00,https://hk.linkedin.com/jobs/view/%E5%95%86%E6%A5%AD%E9%A1%A7%E5%95%8F%EF%BC%88%E5%85%A8%E8%81%B7-%E5%AF%A6%E7%BF%92%EF%BC%89-at-aia-4443806552,1
AIA,財富規劃實習生Wealth Management Internship Trainee,Wealth Management Internship Trainee,Finance,junior,on-site,Hong Kong SAR,,,,3000,12000,medium,Financial Planning; Market Analysis; Client Portfolio Management; Microsoft Office Suite; Financial Software; Analytical Skills; Communication Skills; Client Relationship Management; Business Development; Research Skills,"This is a full-time on-site internship with AIA in Hong Kong. The trainee will assist clients with financial planning, conduct market analysis, and support business development. Candidates should have analytical and communication skills, with knowledge of financial planning preferred.",linkedin,mainstream,0,2026-07-16T00:00:00+00:00,https://hk.linkedin.com/jobs/view/%E8%B2%A1%E5%AF%8C%E8%A6%8F%E5%8A%83%E5%AF%A6%E7%BF%92%E7%94%9Fwealth-management-internship-trainee-at-aia-4440625178,1
AIA Hong Kong,"2026 AIA Hong Kong and Macau Summer Internship Program – Macau, Compliance","2026 AIA Hong Kong and Macau Summer Internship Program – Macau, Compliance",Operations,junior,on-site,"Macau, MA-AIA Hong Kong & Macau",0,,,8000,10000,low,Compliance Operations; Administrative Support; Correspondence Preparation; Document Scanning; Record Management; Filing; Clerical Support; Court Case Handling; General Enquiries Handling,"This is a summer internship in the Compliance department of AIA's Macau branch. The intern will support daily compliance operations, including administrative tasks, correspondence preparation, document management, and handling enquiries from government bodies. The program offers hands-on experience in the insurance industry.",workday,mainstream,1,2026-07-09T00:00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Macau-MA-AIA-Hong-Kong--Macau/XMLNAME-2026-AIA-Hong-Kong-and-Macau-Summer-Internship-Program---Macau--Compliance_JR-65142,1
AIA Hong Kong,"2026 AIA Hong Kong and Macau Summer Internship Program – Macau, Compliance","2026 AIA Hong Kong and Macau Summer Internship Program – Macau, Compliance",Other,junior,on-site,Hong Kong,,,,4000,8000,low,Compliance; Operations; Administrative Support; Record Management; Correspondence Preparation; Document Scanning; Filing; Clerical Support; Court Case Handling; Government Enquiries,"Summer internship at AIA Macau in Compliance and Operations. Responsibilities include administrative support, correspondence preparation, document scanning, filing, court case handling, and responding to government enquiries. Internship runs from June to August 2026.",indeed,mainstream,1,2026-07-10T05:00:00+00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Macau-MA-AIA-Hong-Kong--Macau/XMLNAME-2026-AIA-Hong-Kong-and-Macau-Summer-Internship-Program---Macau--Compliance_JR-65142,1
AIA Hong Kong,2026 Actuarial Intern,2026 Actuarial Intern,Finance,junior,on-site,"Hong Kong, HK-AIA Hong Kong & Macau",,,,9000,12000,low,Product development; Data analysis; Prophet modeling; Spreadsheet proficiency; IT systems administration; Experience/claim monitoring; Shareholder reporting; Regulatory reporting; Financial model verification,"Six-month actuarial internship at AIA Hong Kong, rotating through product development and reporting functions. Responsibilities include data analysis, financial modeling, and supporting regular reporting processes.",workday,mainstream,1,2025-09-01T00:00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong-HK-AIA-Hong-Kong--Macau/XMLNAME-2026-Actuarial-Intern_JR-60566,1
AIA Hong Kong,AI Data Architecture,AI Data Architecture,Engineering,senior,on-site,"Hong Kong, HK-AIA Hong Kong & Macau",,,,75000,95000,medium,GenAI; Machine Learning; Data Architecture; Cloud Computing; LLMs; Data Engineering; Model Monitoring; Data Ingestion; Preprocessing; Scaled Model Computation,"This role designs and implements data architectures for AI/ML workloads on cloud platforms. The AI Data Architect builds scalable, secure, and high-performance AI data ecosystems using GenAI, LLMs, and cloud services. The position is part of AIA Hong Kong's Data Science Lab COE and Transformation team.",workday,mainstream,1,2025-12-12T00:00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong-HK-AIA-Hong-Kong--Macau/AI-Data-Architecture_JR-62927,1
AIA Hong Kong,AIA Actuarial Internship Programme,AIA Actuarial Internship Programme,Finance,junior,on-site,"Hong Kong, HK-AIA Hong Kong & Macau",,,,3000,12000,medium,Data analysis; Prophet modelling; Excel; Product development; Financial reporting; Capital management; Stochastic modelling; Risk analysis; Financial modelling; Spreadsheet modelling,"A six-month actuarial internship at AIA Hong Kong, rotating through product development, reporting, and capital management. Interns perform data analysis, financial modelling using Prophet and Excel, and support financial reporting and capital analysis.",workday,mainstream,0,2022-05-26T00:00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong-HK-AIA-Hong-Kong--Macau/XMLNAME-2022-2023-AIA-Actuarial-Internship-Programme_JR-15033,1
AIA Hong Kong,"Agency Digital & Innovation, Principal","Agency Digital & Innovation, Principal",Other,senior,on-site,"Hong Kong, HK-AIA Hong Kong & Macau",,,,60000,80000,medium,digital strategy; innovation management; stakeholder collaboration; risk assessment; compliance; data analytics; agent analytics; digital transformation; project management; ideation workshops,"The Principal will assist in formulating agency digital strategy to deepen agent engagement and enhance experience via digital innovation, data, and technology. Responsibilities include driving digital transformation, leading ideation workshops, and developing agent analytics. The role also involves risk assessment, compliance, and supporting the agency digitalisation roadmap.",workday,mainstream,1,2026-02-11T00:00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong-HK-AIA-Hong-Kong--Macau/Principal--Agency-Digital---Innovation_JR-64117,1
AIA Hong Kong,Analyst,Analyst,Operations,junior,on-site,CN-M Plaza,,,,23000,30000,medium,Report generation; Management reporting; Metric tracking; Customer claim usage reporting; Documentation maintenance; Functional specifications; Coordination with IT; Communication skills; Interpersonal skills; Attention to detail,"Responsible for preparing timely and accurate reports for Corporate Solutions businesses, including production, metrics, and customer claim usage. Coordinates with IT to implement report generation requests and maintains documentation and procedures.",workday,mainstream,0,2026-07-21T00:00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/CN-M-Plaza/Analyst_JR-68475-1,1
AIA Hong Kong,"Associate - Compliance, 12 Month Contract (Hong Kong Market) - Mandarin Speaking","Associate - Compliance, 12 Month Contract (Hong Kong Market) - Mandarin Speaking",Other,mid,on-site,"Cyberjaya, MY-AIA Shared Services Malaysia",,,,32000,53000,medium,AML; Compliance Screening; Anti-Money Laundering Framework; Regulatory Compliance; Risk Assessment; Service Level Agreement (SLA) Management; Team Coordination; Quality Assurance; Mandarin; Standard Operating Procedure,"This is a 12-month contract Associate Compliance role at AIA Hong Kong, requiring Mandarin. Responsibilities include processing AML checks, ensuring compliance screening per SLA and SOP, assisting in AML framework implementation, and coordinating with the Hong Kong team while overseeing operations in an OSS office.",workday,mainstream,0,2025-07-16T00:00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Cyberjaya-MY-AIA-Shared-Services-Malaysia/Associate---Hong-Kong-Compliance_JR-40512-2,1
AIA Hong Kong,"Associate Director, Change Management","Associate Director, Change Management",Operations,senior,on-site,"Hong Kong, HK-AIA Group Office",10,,,91000,110000,medium,Change Management Strategy; Stakeholder Engagement; Communication Planning; Training & Enablement; Resistance Management; AI Adoption; Governance Framework; Adoption KPI Definition; Cross-functional Coordination; Transformation Roadmap,"The role leads the human side of an enterprise-wide AI transformation program at AIA. Responsibilities include designing change management strategy, stakeholder engagement, communication, training, and adoption KPIs. The role bridges technology delivery and business to embed AI adoption.",workday,mainstream,1,2026-06-29T00:00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong-HK-AIA-Group-Office/Associate-Director--Change-Management_JR-67650-1,1
AIA Hong Kong,"Associate Director, Customer AI & Analytics Product Management","Associate Director, Customer AI & Analytics Product Management",Other,senior,on-site,Hong Kong,,,,95000,130000,medium,AI Strategy; Product Management; Analytics; Data Collection; Customer Journey Mapping; Campaign Management; Agentic AI; Enterprise AI Assistants; Digital Transformation; Stakeholder Management,"This role leads the AI and analytics strategy for Customer & Marketing at AIA, converting fragmented tasks into scalable AI-driven products. It bridges business strategy and AI innovation to deliver use cases like campaign factories and enterprise AI assistants. The role also defines data collection requirements across digital touchpoints to enhance customer journeys.",indeed,mainstream,1,2026-07-07T05:00:00+00:00,https://www.efinancialcareers.hk/jobs-Hong_Kong-Hong_Kong-Associate_Director_Customer_AI__Analytics_Product_Management.id24491811,1
AIA Hong Kong,"Associate Director, Customer Value Growth","Associate Director, Customer Value Growth",Other,senior,on-site,"Hong Kong, HK-AIA Hong Kong & Macau",,,,91000,120000,medium,strategic planning; campaign management; marketing strategy; customer segmentation; stakeholder management; channel activation; product marketing; distribution management,"Lead strategic planning and execution of marketing campaigns, channel activation, and customer segmentation initiatives. Drive distribution channels to achieve business targets and collaborate with stakeholders on special strategic projects.",workday,mainstream,1,2026-05-28T00:00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong-HK-AIA-Hong-Kong--Macau/Associate-Director--Customer-Marketing---Activation_JR-56754,1
AIA Hong Kong,"Associate Director, Distribution Digital","Associate Director, Distribution Digital",Other,senior,on-site,"Hong Kong, HK-AIA Group Office",,,,63000,89000,medium,Digital strategy; Platform governance; Distribution channel management; Data-driven roadmapping; User experience strategy; Cross-functional stakeholder management; Performance analytics; Strategic improvement planning; AI capabilities integration,"Leads technology strategy for AIA's distribution platforms across Agency, Bancassurance, and Corporate Solutions. Governs platform standards and drives data-informed roadmaps to enhance user experience and adoption. Partners with business units to align delivery and lead strategic improvement initiatives.",workday,mainstream,1,2026-07-17T00:00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong-HK-AIA-Group-Office/Associate-Director--Digital-Agency-Platforms_JR-68436-1,1
AIA Hong Kong,"Associate Director, Hospitality & Corporate Travel, Group Office","Associate Director, Hospitality & Corporate Travel, Group Office",Operations,senior,on-site,"Hong Kong, HK-AIA Group Office",,,,80000,100000,medium,Hospitality operations; Corporate travel program management; Event management; Travel policy development; Vendor management; RFP process management; Project management; Team leadership; Stakeholder management; Operations management,"Leads hospitality services and corporate travel program for AIA Group Office in Hong Kong, overseeing employee dining, event facilities, and outsourced operations. Manages travel policies and projects for regional hubs including Singapore and Shanghai. Coordinates with sourcing team on RFP processes.",workday,mainstream,0,2026-06-03T00:00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong-HK-AIA-Group-Office/Associate-Director--Hospitality---Corporate-Travel--Group-Office_JR-67142,1
AIA Hong Kong,"Associate Director, Regulatory Affairs [6-month Fixed-Term Contract Position]","Associate Director, Regulatory Affairs [6-month Fixed-Term Contract Position]",Operations,senior,on-site,"Hong Kong, HK-AIA Group Office",10,,,80000,90000,medium,regulatory affairs; regulatory compliance; stakeholder management; regulatory reporting; risk management; regulatory consultation; cross-functional collaboration; insurance regulation; policy analysis; communication,"Responsible for monitoring regulatory developments across Hong Kong, Bermuda, and globally, and facilitating communication between Group and Business Units. Consolidates regulatory feedback and reports to management. Builds relationships with Risk, Compliance, Legal, and other departments.",workday,mainstream,1,2026-07-20T00:00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong-HK-AIA-Group-Office/Associate-Director--Regulatory-Affairs--6-month-Fixed-Term-Contract-Position-_JR-68428,1
AIA Hong Kong,"Associate Director, Wellness Strategy and Development","Associate Director, Wellness Strategy and Development",Operations,senior,on-site,"Hong Kong, HK-AIA Hong Kong & Macau",,,,100000,130000,medium,Wellness strategy formulation; Customer segmentation (UHNW/HNW); Partnership management; Financial analysis; P&L management; Functional medicine knowledge; Preventive healthcare; Centre operations management; Service level agreement (SLA) management,"This role leads the development of wellness strategy and operations at AIA's Alta Wellness Haven for high-net-worth clients. Responsibilities include designing wellness programs, managing partner relationships, overseeing centre operations and P&L, and applying functional medicine expertise to personalize customer journeys.",workday,mainstream,1,2026-04-14T00:00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong-HK-AIA-Hong-Kong--Macau/Associate-Director--Wellness-Proposition-Strategy-and-Development_JR-60742-1,1
AIA Hong Kong,Associate – Health Claims (Supporting Hong Kong Market),Associate – Health Claims (Supporting Hong Kong Market),Operations,junior,on-site,"Cyberjaya, MY-AIA Shared Services Malaysia",,,,22000,30000,medium,Health claims processing; Pre-approval assessment; Claims adjudication; Customer service; Bilingual (English and Chinese); Simplified and Traditional Chinese typing; Healthcare knowledge; Attention to detail; Time management,"Process and assess pre-approval health claims requests, ensuring accuracy and compliance with quality standards and SLAs. The role involves reviewing cases within authority limits and maintaining productivity benchmarks. Fresh graduates with science, medical, or health-related degrees are encouraged to apply.",workday,mainstream,0,2026-07-20T00:00:00,https://aia.wd3.myworkdayjobs.com/en-US/External/job/Cyberjaya-MY-AIA-Shared-Services-Malaysia/Associate---Health-Claims--Supporting-Hong-Kong-Market-_JR-68156-1,1
