#,Company,Sector,Global_Website,Likely_HK_Presence
71,New York Life Insurance,Insurance,https://www.newyorklife.com,CHECK
72,Nippon Life Insurance,Insurance,https://www.nissay.co.jp,STRONG
73,Dai-ichi Life Insurance,Insurance,https://www.dai-ichi-life.co.jp,STRONG
74,Samsung Life Insurance,Insurance,https://www.samsunglife.com,STRONG
75,Aviva,Insurance,https://www.aviva.com,CHECK
76,CNP Assurances,Insurance,https://www.cnp.fr,CHECK
77,Swiss Re,Insurance,https://www.swissre.com,STRONG
78,Munich Re,Insurance,https://www.munichre.com,STRONG
79,Reinsurance Group of America,Insurance,https://www.rgare.com,CHECK
80,Mapfre,Insurance,https://www.mapfre.com,CHECK
81,Tokio Marine Holdings,Insurance,https://www.tokiomarinehd.com,STRONG
82,Chubb,Insurance,https://www.chubb.com,STRONG
83,Travelers Insurance,Insurance,https://www.travelers.com,CHECK
84,Liberty Mutual,Insurance,https://www.libertymutual.com,CHECK
85,MassMutual,Insurance,https://www.massmutual.com,CHECK
86,Northwestern Mutual,Insurance,https://www.northwesternmutual.com,CHECK
87,Principal Financial Group,Insurance,https://www.principal.com,CHECK
88,Ameriprise Financial,Insurance,https://www.ameriprise.com,CHECK
89,Cigna,Insurance,https://www.cigna.com,CHECK
90,UnitedHealth Group,Insurance,https://www.unitedhealthgroup.com,CHECK
91,Aegon,Insurance,https://www.aegon.com,CHECK
92,China Minsheng Bank,Banking,https://www.cmbc.com.cn,STRONG
93,China CITIC Bank,Banking,https://www.citicbank.com,STRONG
94,China Everbright Bank,Banking,https://www.cebbank.com,STRONG
95,Bank of Communications,Banking,https://www.bankcomm.com,STRONG
96,Shinhan Financial Group,Banking,https://www.shinhangroup.com,STRONG
97,KB Financial Group,Banking,https://www.kbfg.com,STRONG
98,Hana Financial Group,Banking,https://www.hanafn.com,STRONG
99,OCBC Bank,Banking,https://www.ocbc.com,STRONG
100,UOB,Banking,https://www.uobgroup.com,STRONG
101,Maybank,Banking,https://www.maybank.com,STRONG
102,Westpac,Banking,https://www.westpac.com.au,CHECK
103,National Australia Bank,Banking,https://www.nab.com.au,CHECK
104,Commonwealth Bank of Australia,Banking,https://www.commbank.com.au,CHECK
105,Bank Rakyat Indonesia,Banking,https://www.bri.co.id,CHECK
106,Bank Mandiri,Banking,https://www.bankmandiri.co.id,CHECK
107,Kasikornbank,Banking,https://www.kasikornbank.com,CHECK
108,Siam Commercial Bank,Banking,https://www.scb.co.th,CHECK
109,Banco Bradesco,Banking,https://www.bradesco.com.br,CHECK
110,Itau Unibanco,Banking,https://www.itau.com.br,CHECK
111,BTG Pactual,Investment Bank,https://www.btgpactual.com,CHECK
112,CaixaBank,Banking,https://www.caixabank.com,CHECK
113,KBC Group,Banking,https://www.kbc.com,CHECK
114,Danske Bank,Banking,https://www.danskebank.com,CHECK
115,Skandinaviska Enskilda Banken SEB,Banking,https://www.sebgroup.com,CHECK
116,Nordea,Banking,https://www.nordea.com,CHECK
117,Handelsbanken,Banking,https://www.handelsbanken.com,CHECK
118,Swedbank,Banking,https://www.swedbank.com,CHECK
119,Raiffeisen Bank International,Banking,https://www.rbinternational.com,CHECK
120,Erste Group Bank,Banking,https://www.erstegroup.com,CHECK
121,Bank of Ireland,Banking,https://www.bankofireland.com,CHECK
122,Permanent TSB,Banking,https://www.permanenttsb.ie,CHECK
123,Absa Group,Banking,https://www.absa.africa,CHECK
124,FirstRand,Banking,https://www.firstrand.co.za,CHECK
125,Nedbank,Banking,https://www.nedbank.co.za,CHECK
126,Standard Bank Group,Banking,https://www.standardbank.com,CHECK
127,National Bank of Canada,Banking,https://www.nbc.ca,CHECK
128,Desjardins Group,Banking,https://www.desjardins.com,CHECK
129,Caisse de depot et placement du Quebec,Asset Management,https://www.cdpq.com,CHECK
130,Ontario Teachers Pension Plan,Asset Management,https://www.otpp.com,CHECK
131,CPP Investments,Asset Management,https://www.cppinvestments.com,CHECK
132,Temasek Holdings,Asset Management,https://www.temasek.com.sg,STRONG
133,GIC Private Limited,Asset Management,https://www.gic.com.sg,STRONG
